Order_ID,Order_Date,Customer_ID,Customer_Name,Product_ID,Product_Name,Category,Sub_Category,Region,State,Quantity,Unit_Price,Sales,Discount,Cost,Profit,Payment_Mode,Customer_Type,Revenue,Profit_Margin,Month,Quarter,Year
ORD117710,2023-03-30,CUST00524,Ayaan Reddy,PRD-BEA-018,Lipstick Pro 18,Beauty,Lipstick,South,Tamil Nadu,1,2819.57,2819.57,0.1,1476.58,1061.03,UPI,Returning,2537.61,0.4181,2023-03,2023Q1,2023
ORD115123,2023-12-31,CUST02098,Myra Das,PRD-BOO-010,Comic Book Elite 10,Books,Comic Book,South,Tamil Nadu,1,1127.78,1127.78,0.2,762.64,139.58,Debit Card,New,902.22,0.1547,2023-12,2023Q4,2023
ORD103902,2024-04-01,CUST00902,Vivaan Patel,PRD-ELE-007,Headphones Lite 7,Electronics,Headphones,South,Karnataka,5,29019.26,145096.3,0.0,116053.1,29043.2,UPI,Returning,145096.3,0.2002,2024-04,2024Q2,2024
ORD116226,2023-06-15,CUST02241,Ayaan Pillai,PRD-SPO-001,Running Shoes Air 1,Sports,Running Shoes,West,Gujarat,2,4959.27,9918.54,0.15,6166.76,2264.0,Net Banking,Returning,8430.76,0.2685,2023-06,2023Q2,2023
ORD113790,2023-01-16,CUST02229,Ayaan Agarwal,PRD-FAS-015,T-Shirt Classic 15,Fashion,T-Shirt,North,Delhi,1,3459.61,3459.61,0.05,1827.82,1458.81,UPI,Returning,3286.63,0.4439,2023-01,2023Q1,2023
ORD103691,2023-12-28,CUST03281,Vivaan Pillai,PRD-BOO-003,Self-Help Book Basic 3,Books,Self-Help Book,South,Telangana,2,712.9,1425.8,0.1,989.16,294.06,Credit Card,New,1283.22,0.2292,2023-12,2023Q4,2023
ORD109784,2023-08-25,CUST00134,Myra Bose,PRD-FAS-011,Handbag Elite 11,Fashion,Handbag,West,Maharashtra,1,2022.41,2022.41,0.05,1105.28,816.01,Net Banking,Returning,1921.29,0.4247,2023-08,2023Q3,2023
ORD115938,2024-11-15,CUST00692,Riya Gupta,PRD-SPO-001,Running Shoes Air 1,Sports,Running Shoes,East,Odisha,2,4606.03,9212.06,0.1,5766.1,2524.75,UPI,Returning,8290.85,0.3045,2024-11,2024Q4,2024
ORD104236,2023-03-22,CUST00301,Ishaan Agarwal,PRD-FAS-028,T-Shirt Basic 28,Fashion,T-Shirt,West,Rajasthan,3,4853.79,14561.37,0.1,7793.07,5312.16,Debit Card,Returning,13105.23,0.4053,2023-03,2023Q1,2023
ORD107649,2024-02-23,CUST00276,Sai Bose,PRD-SPO-023,Dumbbell Set Plus 23,Sports,Dumbbell Set,North,Haryana,1,1849.59,1849.59,0.05,1152.77,604.34,Credit Card,New,1757.11,0.3439,2024-02,2024Q1,2024
ORD109773,2024-07-21,CUST03449,Myra Sharma,PRD-SPO-026,Yoga Mat Lite 26,Sports,Yoga Mat,North,Uttar Pradesh,1,5323.28,5323.28,0.0,3390.61,1932.67,UPI,New,5323.28,0.3631,2024-07,2024Q3,2024
ORD106902,2024-05-23,CUST00534,Kiara Nair,PRD-BOO-024,Self-Help Book Lite 24,Books,Self-Help Book,North,Punjab,1,766.1,766.1,0.05,516.65,211.15,UPI,Returning,727.8,0.2901,2024-05,2024Q2,2024
ORD107610,2023-08-10,CUST01058,Vivaan Pillai,PRD-BOO-027,Comic Book Elite 27,Books,Comic Book,East,Jharkhand,1,473.1,473.1,0.0,338.12,134.98,Debit Card,New,473.1,0.2853,2023-08,2023Q3,2023
ORD116317,2023-05-01,CUST00132,Reyansh Gupta,PRD-FAS-006,Sneakers Plus 6,Fashion,Sneakers,North,Punjab,1,2109.99,2109.99,0.1,1127.81,771.18,Debit Card,Returning,1898.99,0.4061,2023-05,2023Q2,2023
ORD113717,2024-02-27,CUST01705,Isha Menon,PRD-SPO-017,Cricket Bat Lite 17,Sports,Cricket Bat,West,Goa,1,4801.77,4801.77,0.2,2937.68,903.74,Credit Card,Returning,3841.42,0.2353,2024-02,2024Q1,2024
ORD110680,2024-06-19,CUST03624,Navya Agarwal,PRD-BOO-024,Self-Help Book Lite 24,Books,Self-Help Book,South,Tamil Nadu,3,763.72,2291.16,0.0,1633.53,657.63,Debit Card,Returning,2291.16,0.287,2024-06,2024Q2,2024
ORD104425,2024-12-28,CUST01175,Vivaan Menon,PRD-SPO-011,Cycling Helmet Max 11,Sports,Cycling Helmet,North,Uttar Pradesh,2,3825.5,7651.0,0.15,4960.48,1542.87,Debit Card,Returning,6503.35,0.2372,2024-12,2024Q4,2024
ORD114096,2023-09-16,CUST03673,Navya Iyer,PRD-ELE-018,Smartphone Plus 18,Electronics,Smartphone,West,Gujarat,1,5976.35,5976.35,0.15,4847.54,232.36,Credit Card,Returning,5079.9,0.0457,2023-09,2023Q3,2023
ORD117833,2023-10-17,CUST04071,Aadhya Gupta,PRD-BEA-004,Sunscreen Max 4,Beauty,Sunscreen,North,Delhi,2,2182.26,4364.52,0.05,2147.58,1998.71,Credit Card,Returning,4146.29,0.482,2023-10,2023Q4,2023
ORD101271,2024-10-12,CUST03373,Aditya Gupta,PRD-FAS-030,Handbag Elite 30,Fashion,Handbag,East,West Bengal,2,1983.46,3966.92,0.05,2167.52,1601.05,UPI,New,3768.57,0.4248,2024-10,2024Q4,2024
ORD110123,2024-11-25,CUST01108,Ayaan Das,PRD-BEA-024,Perfume Pro 24,Beauty,Perfume,North,Haryana,2,1657.19,3314.38,0.0,1667.4,1646.98,UPI,New,3314.38,0.4969,2024-11,2024Q4,2024
ORD109987,2023-10-21,CUST00776,Aadhya Malhotra,PRD-SPO-020,Dumbbell Set Air 20,Sports,Dumbbell Set,South,Tamil Nadu,2,4154.6,8309.2,0.1,5379.18,2099.1,Credit Card,New,7478.28,0.2807,2023-10,2023Q4,2023
