Customer_ID,Customer_Name,Last_Order_Date,Frequency,Monetary,Recency,AOV,R_Score,F_Score,M_Score,RFM_Score,Segment
CUST00001,Reyansh Menon,2024-01-04,5,97774.6,363,19554.92,1,3,4,2.6666666666666665,Medium Value
CUST00002,Kiara Chopra,2024-10-22,4,107985.17,71,26996.29,3,2,4,3.0,High Value
CUST00003,Ayaan Reddy,2024-12-30,7,88166.23,2,12595.18,4,4,4,4.0,High Value
CUST00004,Riya Chopra,2024-11-29,2,25223.42,33,12611.71,4,1,2,2.3333333333333335,Medium Value
CUST00005,Ananya Singh,2024-11-15,4,25937.86,47,6484.46,3,2,2,2.3333333333333335,Medium Value
CUST00006,Ayaan Gupta,2024-12-07,8,99355.95,25,12419.49,4,4,4,4.0,High Value
CUST00007,Unknown,2024-06-25,5,25540.8,190,5108.16,2,3,2,2.3333333333333335,Medium Value
CUST00008,Sai Verma,2024-12-19,4,164069.5,13,41017.38,4,2,4,3.3333333333333335,High Value
CUST00009,Aarav Bose,2024-05-18,4,54173.61,228,13543.4,1,2,3,2.0,Medium Value
CUST00010,Diya Joshi,2023-10-14,3,29556.27,445,9852.09,1,1,2,1.3333333333333333,Low Value
CUST00011,Ishaan Kapoor,2024-12-26,5,15747.79,6,3149.56,4,3,2,3.0,High Value
CUST00012,Kiara Malhotra,2023-07-13,2,4593.14,538,2296.57,1,1,1,1.0,Low Value
CUST00013,Riya Bose,2024-12-12,5,17520.61,20,3504.12,4,3,2,3.0,High Value
CUST00014,Isha Gupta,2024-11-18,7,197002.66999999998,44,28143.24,3,4,4,3.6666666666666665,High Value
CUST00015,Arjun Pillai,2023-11-06,4,56957.59,422,14239.4,1,2,3,2.0,Medium Value
CUST00016,Reyansh Iyer,2024-12-31,6,145982.63999999998,1,24330.44,4,3,4,3.6666666666666665,High Value
CUST00017,Reyansh Agarwal,2024-06-11,4,45527.71,204,11381.93,2,2,3,2.3333333333333335,Medium Value
CUST00018,Vihaan Rao,2024-11-28,5,41278.46,34,8255.69,3,3,3,3.0,High Value
CUST00019,Navya Iyer,2024-09-21,3,27566.300000000003,102,9188.77,2,1,2,1.6666666666666667,Low Value
CUST00020,Vivaan Menon,2024-09-17,3,8599.3,106,2866.43,2,1,1,1.3333333333333333,Low Value
CUST00021,Kiara Reddy,2024-01-08,3,17483.05,359,5827.68,1,1,2,1.3333333333333333,Low Value
CUST00022,Diya Nair,2024-12-07,4,55837.4,25,13959.35,4,2,3,3.0,High Value
CUST00023,Kiara Gupta,2024-12-28,5,99333.91,4,19866.78,4,3,4,3.6666666666666665,High Value
CUST00024,Aadhya Joshi,2024-04-10,7,16338.54,266,2334.08,1,4,2,2.3333333333333335,Medium Value
CUST00025,Vihaan Agarwal,2024-09-02,4,24154.35,121,6038.59,2,2,2,2.0,Medium Value
CUST00026,Ayaan Singh,2024-11-17,9,155794.53,45,17310.5,3,4,4,3.6666666666666665,High Value
CUST00027,Vivaan Patel,2024-12-14,3,61755.08,18,20585.03,4,1,3,2.6666666666666665,Medium Value
CUST00028,Ishaan Singh,2024-08-10,3,9558.64,144,3186.21,2,1,1,1.3333333333333333,Low Value
CUST00029,Navya Bose,2024-08-17,8,144588.93,137,18073.62,2,4,4,3.3333333333333335,High Value
CUST00030,Vivaan Mehta,2024-11-18,8,89226.65,44,11153.33,3,4,4,3.6666666666666665,High Value
CUST00031,Vihaan Rao,2024-06-04,5,95908.1,211,19181.62,2,3,4,3.0,High Value
CUST00032,Myra Malhotra,2023-12-14,2,5315.18,384,2657.59,1,1,1,1.0,Low Value
CUST00033,Ayaan Rao,2024-10-25,5,26445.77,68,5289.15,3,3,2,2.6666666666666665,Medium Value
CUST00034,Ayaan Kapoor,2024-01-29,2,158999.26,338,79499.63,1,1,4,2.0,Medium Value
CUST00035,Saanvi Agarwal,2024-11-14,3,9061.279999999999,48,3020.43,3,1,1,1.6666666666666667,Low Value
CUST00036,Kiara Das,2024-10-18,3,39116.380000000005,75,13038.79,3,1,3,2.3333333333333335,Medium Value
CUST00037,Krishna Malhotra,2024-10-14,3,15231.04,79,5077.01,3,1,2,2.0,Medium Value
CUST00038,Saanvi Sharma,2024-11-28,4,25089.73,34,6272.43,3,2,2,2.3333333333333335,Medium Value
CUST00039,Reyansh Iyer,2024-05-19,2,1973.94,227,986.97,1,1,1,1.0,Low Value
CUST00043,Ayaan Gupta,2024-09-27,7,76943.23,96,10991.89,2,4,4,3.3333333333333335,High Value
